potentiometer0,potentiometer1,potentiometer2,potentiometer3,potentiometer4,potentiometer5,potentiometer6,encoder0,encoder1,encoder2,encoder3,encoder4,encoder5,encoder6
-0.09647598089400833,-0.19988150740016852,0.001245977007744481,-0.7752734249841038,-0.905805203818665,-0.9121876458125646,-0.9261548742520529,-0.09585456043487461,-0.199200171757747,0.0013170306400000001,-0.7788253658336416,-0.8721878278763929,-0.8660173203275904,-0.8919066237388706
-0.11040099341439924,-0.20411620789127816,0.0012909636220450015,-0.8094689742804135,-0.9364682820005572,-0.9424266425472636,-0.9573442464846389,-0.10992537973171167,-0.20325460651671487,0.00135073418,-0.8119583085413421,-0.9035769314942145,-0.8971381410085075,-0.9232957273566922
-0.12485953131871308,-0.2081759207587881,0.0013482193129729335,-0.8432887483097313,-0.9674076041300346,-0.972665639281963,-0.989644219508889,-0.12435144474076305,-0.20733220947430542,0.00139480804,-0.8453595341859471,-0.9352343180489405,-0.929063810500138,-0.9549531139114182
-0.14091864537479615,-0.2125506113487774,0.0013809368506460425,-0.8791752863075071,-1.0023985041574184,-1.0077319457363574,-1.0272195462935474,-0.14000542427681614,-0.21176505814411029,0.00143240045,-0.88104116479424,-0.9690379680989023,-0.9632698849554564,-0.9886226224929276
-0.1563375289701714,-0.21682030936460683,0.001417744080528284,-0.9131829479703204,-1.0314041186538034,-1.0379709424710564,-1.057298317734468,-0.15514198071029617,-0.2159662248276884,0.0014661039900000002,-0.9148448148442018,-1.0009636375905329,-0.9955979788524436,-1.019877584642297
-0.17244999556464657,-0.22119499995459568,0.001458641002619665,-0.9466269467326458,-1.0593047573598495,-1.067936695259358,-1.0872845391094166,-0.17078823751347502,-0.22026778703863145,0.00150758527,-0.9479777575519023,-1.0324868826768065,-1.0273895068756218,-1.0507301223863097
-0.1896295129269676,-0.22570968064346464,0.001511807001338461,-0.9810103836624529,-1.0920857058065572,-1.0992686677796488,-1.1187515615399186,-0.1878863680970081,-0.2248782585645435,0.0015542517100000002,-0.9825862564125774,-1.0648149765737938,-1.059717600772609,-1.0823875089410357
-0.20590203713662003,-0.23015436628289376,0.0015690626922663965,-1.0133270566237997,-1.1205388324077727,-1.1288700953060857,-1.1492005332447275,-0.20435123458485474,-0.2292261571727319,0.00160091815,-1.0149143503095646,-1.0952650899124496,-1.0900335726428128,-1.1125693393427873
-0.2224946765766258,-0.23438906677400317,0.0016222286909851925,-1.0463952801191332,-1.1502810974310496,-1.1583804415170578,-1.1796495049495364,-0.22114817858629307,-0.23356633304804608,0.0016423994300000001,-1.048047293017265,-1.126520052061819,-1.1212885347921822,-1.1436901600237044
-0.24095465486036227,-0.23900874003703154,0.0016753946897039886,-1.082281818116909,-1.1833382898253415,-1.1906232271920079,-1.2131526288314238,-0.2393352145050918,-0.23818452730683232,0.0016838807100000002,-1.0839972065624626,-1.1605919850486852,-1.1556287507159528,-1.1776279515421184
-0.2589878128369605,-0.24324344052814117,0.001720381304004509,-1.116947086496959,-1.21492218116585,-1.2216819557659004,-1.2452675017237298,-0.256850372663833,-0.24254014864789494,0.0017266582800000002,-1.1184715639546854,-1.1934566448194814,-1.1884934104867488,-1.2099560454391056
-0.2773410860439125,-0.24761813111813025,0.0017735473027233085,-1.1513305234267661,-1.2456773406636037,-1.253105009601657,-1.2757164734285387,-0.27471305380191424,-0.24684943359171221,0.0017668432700000002,-1.152811779878456,-1.2259188801849208,-1.2210897873206406,-1.2420158563991883
-0.2959077694044334,-0.2518178340845201,0.001818533917023829,-1.1842108592886027,-1.2761562562137723,-1.2841637381755495,-1.3066281954632086,-0.2929309806522099,-0.2510892139396615,0.0018070282600000003,-1.1858105811177042,-1.2571738423342902,-1.2527471738753666,-1.2731366770801054
-0.31607502891672357,-0.2563325147733886,0.0018553411469060706,-1.2168093637001944,-1.307003497027388,-1.3164976051659654,-1.3372622672999612,-0.3128633542005833,-0.25561473540395707,0.0018485095400000001,-1.2197483726361182,-1.2889653703574684,-1.2849411263039014,-1.3046599221663793
-0.3350685325843832,-0.2605672152644982,0.0019166865300431456,-1.2483744861275574,-1.334719973101711,-1.3457347074305392,-1.3661378878832457,-0.33171454514656534,-0.2597927338889125,0.0018964722700000002,-1.2512716177223921,-1.3187447763538633,-1.3147205323002964,-1.3340369037574173
-0.35555590732702735,-0.26483691328032766,0.0019862112975984926,-1.2815366534396389,-1.3651988886518804,-1.3744253218023168,-1.3961241092581944,-0.3516932550921842,-0.2641406324971009,0.00194184242,-1.2848069848354493,-1.3501338799716849,-1.3459754944496658,-1.3650235829698822
-0.3749762313018252,-0.26896662119727743,0.002018928835271598,-1.3134775511339938,-1.3938361778848192,-1.4040267493287546,-1.4253699301053664,-0.3709923645448712,-0.2682182354546914,0.00197295338,-1.317403361669341,-1.3808522762472453,-1.3766938907252262,-1.3952054133716338
-0.39450326035340777,-0.2730613315895074,0.002055736065153843,-1.3462639431790824,-1.4236705242239571,-1.4341746647479878,-1.4548934011504548,-0.3903609785934263,-0.27225722474791086,0.00201961982,-1.350268021440137,-1.4122413798650668,-1.4079488528745956,-1.4260579511156464
-0.41547080794158275,-0.2772960320806168,0.002121171140500054,-1.3805534362921406,-1.4555306595120499,-1.4665085317384037,-1.486823173910817,-0.41115057549083867,-0.27651245056160856,0.00204424933,-1.3852789447061689,-1.4456426055096718,-1.4416183614561051,-1.4590567523548947
-0.43542465730030355,-0.28128574989868693,0.0021866062158462686,-1.4128701092534883,-1.4847204366401572,-1.4971118537349666,-1.516068994757989,-0.4307894851899916,-0.28044332159458885,0.0020831380300000003,-1.4177411800716082,-1.4764951432536846,-1.4728733236054743,-1.4895068656935508
-0.4556452693509858,-0.2851704751425974,0.0022724897522381667,-1.4449049507645921,-1.515659758769635,-1.527897338362461,-1.5457775659350221,-0.4503434448275281,-0.284405083559066,0.00214017479,-1.4496668495632388,-1.5069452565923405,-1.503591719881035,-1.5196886960953022
-0.47735975247665263,-0.2893351805842672,0.0023338351353752416,-1.4792883876943983,-1.544481210634296,-1.5569522779961034,-1.5766892879696912,-0.47132611004679603,-0.2886294184412668,0.00218684123,-1.4841412069554616,-1.53940749195778,-1.5360539552464743,-1.5520167899922894
-0.49790047975768936,-0.2932899008776173,0.002411539287348864,-1.51188689210599,-1.5720135240768958,-1.5854607297369485,-1.606027658882835,-0.4907178922939738,-0.29252939854275023,0.0022335076700000004,-1.5168717252578054,-1.569991746764888,-1.5665040685851301,-1.5823327618624932
-0.5181210918083716,-0.2971746261215278,0.002468794978276803,-1.5447672279678266,-1.6015716264684503,-1.614151344108726,-1.6353660297959798,-0.5099629426165413,-0.2964911605072274,0.0022736926600000003,-1.5497363850286017,-1.6007101430404487,-1.5972224648606907,-1.6127828752011493
-0.5370612429376387,-0.30126933651375754,0.0025137815925773237,-1.57783545146316,-1.6303009970172502,-1.6433884463733,-1.6647969507750964,-0.5290998746788697,-0.3004451997388303,0.00230998878,-1.5828693277363022,-1.6320992466582702,-1.6286115684785123,-1.6435012714767097
-0.5568016821427906,-0.3052940518565477,0.002591485744550946,-1.6107157873249958,-1.6592145301977732,-1.6726255486378738,-1.6944129718861567,-0.5477193836386249,-0.30439923897043325,0.0023618403800000002,-1.6162705533809072,-1.6637566332129963,-1.6604030965016905,-1.6744879506891746
-0.5767555315015118,-0.30949375482293706,0.002701907434197681,-1.6455689433385428,-1.6892330391686343,-1.7034110332653682,-1.725232143854854,-0.5671034431529284,-0.3086853557156279,0.0024266548800000003,-1.6514156181153912,-1.6968895759206968,-1.6938043221462955,-1.707620893396875
-0.5946819844013251,-0.3134834726410072,0.0028123291238444127,-1.6781674477501345,-1.7192515481394963,-1.732374891583544,-1.7552183652298026,-0.5849506788252613,-0.3127320677417215,0.00248369164,-1.684146136417735,-1.7282786795385183,-1.7253275672325694,-1.7388758555462445
-0.6122883220707849,-0.3175081879837973,0.0028777641991906203,-1.710953839795224,-1.747888837372435,-1.7589706356996047,-1.7825206346915619,-0.6021337594704108,-0.3168637298294316,0.00253165437,-1.7171449376569834,-1.7596677831563399,-1.7564483879134865,-1.7698625347587094
-0.6309083579696984,-0.32198787114794625,0.0029309301979094197,-1.7466524901595029,-1.7805777045032807,-1.7908490961126908,-1.8155610082435882,-0.6201508952659766,-0.32134291489648187,0.00256795049,-1.7529607097337285,-1.7933372917378494,-1.7902520379634481,-1.8032637604033144
-0.6471808821793503,-0.32622257163905566,0.002963647735582522,-1.7797207136548363,-1.8111487013693113,-1.8199040357463332,-1.8450844792886767,-0.6365694253565779,-0.3255209133814373,0.0026055429,-1.786093652441429,-1.8245922538872188,-1.8220435659866265,-1.8341162981473271
-0.6632933487738255,-0.33042227460544527,0.0030209034265104608,-1.8115676675324432,-1.8412592916560344,-1.8474105930170532,-1.8734047994761283,-0.6524241959473608,-0.3298379210581288,0.0026548019200000003,-1.8186900292753208,-1.8550423672258747,-1.8530302451990914,-1.8641639870806264
-0.680152750905793,-0.3351819379673535,0.0030945178862749473,-1.8443540595775318,-1.8706332314158658,-1.8768298579125586,-1.9040388713128809,-0.668734607777723,-0.33438661072104703,0.0027040609400000005,-1.8532985281359957,-1.8876387440597664,-1.8858949049698874,-1.896223798040709
-0.6957316921163457,-0.3395566285573428,0.0031599529616211583,-1.8762949572718877,-1.9011121469660353,-1.9057026349152677,-1.9333772422260256,-0.6834850275674917,-0.3387422320621097,0.0027507273800000003,-1.8864314708436964,-1.919027847677588,-1.917284008587709,-1.9269421943162695
-0.7108838130197592,-0.3440713092462113,0.0032172086525490903,-1.909926843667709,-1.9322356317272353,-1.9343932492870453,-1.9636411137988907,-0.6979805971724112,-0.3432214171291599,0.0028012826900000003,-1.9209058282359193,-1.9516242245114797,-1.9496121024846962,-1.9591361467448045
-0.7255024085392499,-0.3486209874598003,0.0032703746512678863,-1.9437466176970264,-1.9618858154346501,-1.9626284570814931,-1.9931645848439792,-0.7119432982090091,-0.34764654306609055,0.0028427639700000003,-1.95524604415969,-1.9844888842822757,-1.9820743378501355,-1.9915983821102439
-0.7394274210596408,-0.3533106557722685,0.00331945095777755,-1.976720897375611,-1.9935617880910197,-1.9927763725007264,-2.024261407010592,-0.7256202581292607,-0.35214889633176344,0.0028829489600000003,-1.988781411272747,-2.016280412305454,-2.013731724404862,-2.02325576866497
-0.7535124911952085,-0.35807031913417675,0.0033685272642872063,-2.0099770085044395,-2.022751565219127,-2.023106450550892,-2.053969978187625,-0.7397219683575946,-0.35694471344665685,0.0029425783000000005,-2.022585061322709,-2.0483402232655368,-2.046059818301849,-2.0554497210935048
-0.7673307986388151,-0.36272498992192537,0.0034462314162608323,-2.0402269174973298,-2.0509284478727583,-2.0511594957144075,-2.081642447913272,-0.7526807141205434,-0.36141617578083285,0.0029827632900000004,-2.0541083064089825,-2.077851346325027,-2.076107507235148,-2.084424278279186
-0.7805622281601059,-0.36758964585799325,0.003528025260443598,-2.0730133095424184,-2.0810390381594805,-2.081216329818175,-2.1108882687604438,-0.7661491602531909,-0.36616565649848093,0.00303202231,-2.087777814990492,-2.1095087328797533,-2.1084356011321352,-2.115276816023199
-0.793366837374258,-0.3721393240715818,0.00358528095137153,-2.1047663196032773,-2.1088475955496655,-2.10972478155902,-2.1386532885520633,-0.7784900873862017,-0.37062167336690843,0.00307998504,-2.120105908887479,-2.1400929876868613,-2.139153997407696,-2.1453245049564984
-0.8056379212044875,-0.3765490121862911,0.003622088181253775,-2.136707217297633,-2.138221535309497,-2.136867013567877,-2.166325758277711,-0.7905529961357404,-0.3751163038997071,0.0031162811600000005,-2.1532388515951797,-2.171616232773135,-2.1701406766201607,-2.1763111841689633
